0.900390625,0.900390625,,,,,,,,,1.80078125,18.0078125
1,1,,,,,,,,,2,20
1,1,,,,,,,,,2,20
1,1,,,,,,,,,2,20
0.974609375,0.974609375,,,,,,,,,1.94921875,19.4921875
1,1,,,,,,,,,2,20
0.9755859375,0.974609375,,,,,,,,,1.9501953125,19.501953125
1,1,,,,,,,,,2,20
0.9736328125,0.9736328125,,,,,,,,,1.947265625,19.47265625
1,1,,,,,,,,,2,20
1.01,1.01,0.916015625,0.9169921875,,,,,,,3.8530078125,38.530078125
1,1,1.01,1.01,,,,,,,4.02,40.2
1,0.9755859375,0.974609375,0.974609375,,,,,,,3.9248046875,39.248046875
0.974609375,0.9755859375,0.970703125,1,,,,,,,3.9208984375,39.208984375
1,1,1,1,,,,,,,4,40
0.9755859375,1,1,1,,,,,,,3.9755859375,39.755859375
1,0.9755859375,0.9755859375,0.9755859375,,,,,,,3.9267578125,39.267578125
0.9755859375,0.9755859375,1,0.9755859375,,,,,,,3.9267578125,39.267578125
1,1,1,1,,,,,,,4,40
1,1.01,0.9736328125,1,,,,,,,3.9836328125,39.836328125
1,0.9697265625,0.8369140625,0.939453125,0.75390625,0.65625,,,,,5.15625,51.5625
0.8701171875,0.5791015625,0.65625,0.5703125,0.5146484375,0.5703125,,,,,3.7607421875,37.607421875
0.859375,0.6220703125,0.5166015625,0.4521484375,0.419921875,0.4580078125,,,,,3.328125,33.28125
0.8544921875,0.6103515625,0.501953125,0.4345703125,0.404296875,0.4384765625,,,,,3.244140625,32.44140625
0.9130859375,0.6201171875,0.5107421875,0.4453125,0.4111328125,0.4462890625,,,,,3.3466796875,33.466796875
0.9365234375,0.6123046875,0.51171875,0.3701171875,0.412109375,0.451171875,,,,,3.2939453125,32.939453125
0.9384765625,0.5849609375,0.4931640625,0.3388671875,0.40234375,0.4404296875,,,,,3.1982421875,31.982421875
0.9150390625,0.5693359375,0.4814453125,0.3427734375,0.3896484375,0.419921875,,,,,3.1181640625,31.181640625
0.919921875,0.5673828125,0.478515625,0.3505859375,0.3916015625,0.423828125,,,,,3.1318359375,31.318359375
0.94140625,0.58203125,0.498046875,0.3583984375,0.4033203125,0.4375,,,,,3.220703125,32.20703125
0.7275390625,0.466796875,0.390625,0.2822265625,0.3193359375,0.3447265625,0.6640625,0.4755859375,,,3.6708984375,36.708984375
0.4267578125,0.283203125,0.234375,0.1650390625,0.1953125,0.2080078125,1.03,0.9052734375,,,3.44796875,34.4796875
0.3486328125,0.244140625,0.2001953125,0.134765625,0.169921875,0.181640625,0.8818359375,0.8818359375,,,3.04296875,30.4296875
0.3408203125,0.2568359375,0.208984375,0.1337890625,0.1806640625,0.1923828125,0.8388671875,0.84375,,,2.99609375,29.9609375
0.333984375,0.2685546875,0.220703125,0.134765625,0.19921875,0.205078125,0.8310546875,0.833984375,,,3.02734375,30.2734375
0.3388671875,0.3017578125,0.244140625,0.14453125,0.2216796875,0.2333984375,0.8046875,0.80078125,,,3.08984375,30.8984375
0.3359375,0.318359375,0.265625,0.1513671875,0.2490234375,0.251953125,0.7724609375,0.771484375,,,3.1162109375,31.162109375
0.333984375,0.3515625,0.2802734375,0.1611328125,0.2724609375,0.2802734375,0.7099609375,0.7119140625,,,3.1015625,31.015625
0.337890625,0.3740234375,0.3095703125,0.1728515625,0.3076171875,0.3056640625,0.6689453125,0.66796875,,,3.14453125,31.4453125
0.3408203125,0.40625,0.333984375,0.1904296875,0.3291015625,0.3359375,0.62109375,0.623046875,,,3.1806640625,31.806640625
0.30078125,0.3955078125,0.3671875,0.171875,0.3095703125,0.353515625,0.5498046875,0.5615234375,0.3212890625,0.2861328125,3.6171875,36.171875
0.2109375,0.2646484375,0.31640625,0.091015625,0.2197265625,0.314453125,0.5068359375,0.51171875,0.4326171875,0.359375,3.227734375,32.27734375
0.193359375,0.2392578125,0.2880859375,0.0840820313,0.2041015625,0.2900390625,0.4677734375,0.4638671875,0.4169921875,0.3466796875,2.9942382813,29.9423828125
0.1953125,0.244140625,0.2880859375,0.084765625,0.2080078125,0.29296875,0.4755859375,0.4736328125,0.4150390625,0.34765625,3.0251953125,30.251953125
0.1943359375,0.2451171875,0.2919921875,0.0829101563,0.2060546875,0.2939453125,0.4736328125,0.4736328125,0.4169921875,0.34765625,3.0262695313,30.2626953125
0.1953125,0.2470703125,0.2958984375,0.0818359375,0.2060546875,0.2919921875,0.46875,0.4775390625,0.423828125,0.3486328125,3.0369140625,30.369140625
0.1943359375,0.2490234375,0.2958984375,0.0829101563,0.2060546875,0.2958984375,0.4814453125,0.4775390625,0.421875,0.353515625,3.0584960938,30.5849609375
0.1904296875,0.2431640625,0.291015625,0.0838867188,0.205078125,0.2939453125,0.4755859375,0.4765625,0.4248046875,0.34375,3.0282226563,30.2822265625
0.1953125,0.2470703125,0.294921875,0.0879882813,0.2060546875,0.294921875,0.4775390625,0.4794921875,0.421875,0.3525390625,3.0577148438,30.5771484375
0.1943359375,0.2451171875,0.29296875,0.094921875,0.2080078125,0.2939453125,0.4765625,0.4765625,0.4453125,0.365234375,3.09296875,30.9296875
