1,397,446,843,0.8232421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,424,531,955,0.9326171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,451,496,947,0.9248046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,451,497,948,0.92578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,440,501,941,0.9189453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,423,478,901,0.8798828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,492,500,992,0.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,536,436,972,0.94921875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,527,405,932,0.91015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,390,471,861,0.8408203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,358,559,917,0.8955078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,353,618,971,0.9482421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,470,534,1004,0.98046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,425,503,928,0.90625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,435,478,913,0.8916015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,453,497,950,0.927734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,448,523,971,0.9482421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,480,471,951,0.9287109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,504,433,937,0.9150390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,539,439,978,0.955078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,498,392,890,0.869140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,476,465,941,0.9189453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,461,467,928,0.90625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,400,516,916,0.89453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,418,534,952,0.9296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,382,524,906,0.884765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,499,532,1001,0.9775390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
