1,0.287
2,0.283
3,0.288
4,0.293
5,0.293
6,0.291
7,0.295
8,0.282
9,0.302
10,0.292
11,0.292
12,0.296
13,0.266
14,0.23
15,0.271
16,0.291
17,0.302
18,0.284
19,0.294
20,3.02
21,2.96
22,3.06
23,2.76
24,3.03
25,2.79
26,2.92
27,3.13
28,3.25
29,2.86
30,3.03
31,2.69
32,2.94
33,2.85
34,2.97
35,3.07
36,2.79
37,2.98
38,2.76
39,2.95
40,0.199
41,0.289
42,0.278
43,0.289
44,0.275
45,0.29
46,0.293
47,0.282
48,0.286
49,0.298
50,0.289
51,0.288
52,0.286
53,0.292
54,0.292
55,0.273
56,0.293
57,0.299
58,0.291
59,0.293
60,0.289
