12,0,10,4,12,1,10,4,,,,,,,,
12,0,20,8,12,1,20,8,,,,,,,,
12,0,30,13.5,12,1,30,13.5,,,,,,,,
12,0,40,22,12,1,40,22,,,,,,,,
12,0,50,34,12,1,50,34,,,,,,,,
12,0,60,40.5,12,1,60,40.5,,,,,,,,
12,0,70,50,12,1,70,50,,,,,,,,
12,0,80,55,12,1,80,55,,,,,,,,
12,0,90,62.5,12,1,90,62.5,,,,,,,,
12,0,100,75,12,1,100,75,,,,,,,,
12,0,110,81,12,1,110,81,,,,,,,,
12,0,120,90,12,1,120,90,,,,,,,,
12,0,130,100,12,1,130,100,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,0,10,14.5,15,14.5,14,14.5,14,,,,,,,
0,0,10,21,21,21,20.5,21,21,21,21,21,21,20.5,21,20.9090909091
0,0,20,28.5,28.5,30,28,28,29.5,29.5,29.5,29,28,28,28,28.7727272727
0,0,20,65,64,62.5,63.5,63.5,64,64,63.5,64.5,62,62.5,62.5,63.5454545455
0,0,30,42.5,42.5,42,43,44,42.5,42,41,43,43,42,42.5,42.5
0,0,40,64,62.5,62.5,63,63.5,62.5,64.5,63.5,63,62,64,62,63.1818181818
0,0,50,75.5,79,76.5,76,76,77.5,75.5,78,78,79,76.5,76,77.0454545455
0,0,60,94,91.5,94,93.5,93,91.5,94,95,95.5,95,92.5,94,93.5909090909
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,1,10,,,,,,,,,,,,,
0,1,10,,,,,,,,,,,,,
0,1,20,,,,,,,,,,,,,
0,1,20,,,,,,,,,,,,,
0,1,30,,,,,,,,,,,,,
0,1,40,,,,,,,,,,,,,
0,1,50,,,,,,,,,,,,,
0,1,60,,,,,,,,,,,,,
0,0,10,,,,,,,,,,,,,
0,0,10,,,,,,,,,,,,,
0,0,20,,,,,,,,,,,,,
0,0,20,,,,,,,,,,,,,
0,0,30,,,,,,,,,,,,,
0,0,40,,,,,,,,,,,,,
0,0,50,,,,,,,,,,,,,
0,0,60,,,,,,,,,,,,,
0,1,10,,,,,,,,,,,,,
0,1,10,,,,,,,,,,,,,
0,1,20,,,,,,,,,,,,,
0,1,20,,,,,,,,,,,,,
0,1,30,,,,,,,,,,,,,
0,1,40,,,,,,,,,,,,,
0,1,50,,,,,,,,,,,,,
0,1,60,,,,,,,,,,,,,
0,2,10,,,,,,,,,,,,,
0,2,10,,,,,,,,,,,,,
0,2,20,,,,,,,,,,,,,
0,2,20,,,,,,,,,,,,,
0,2,30,,,,,,,,,,,,,
0,2,40,,,,,,,,,,,,,
0,2,50,,,,,,,,,,,,,
0,2,60,,,,,,,,,,,,,
0,3,10,,,,,,,,,,,,,
0,3,10,,,,,,,,,,,,,
0,3,20,,,,,,,,,,,,,
0,3,20,,,,,,,,,,,,,
0,3,30,,,,,,,,,,,,,
0,3,40,,,,,,,,,,,,,
0,3,50,,,,,,,,,,,,,
0,3,60,,,,,,,,,,,,,
0,4,10,14.5,,,,,,,,,,,,
0,4,10,,,,,,,,,,,,,
0,4,20,,,,,,,,,,,,,
0,4,20,,,,,,,,,,,,,
0,4,30,,,,,,,,,,,,,
0,4,40,,,,,,,,,,,,,
0,4,50,,,,,,,,,,,,,
0,4,60,,,,,,,,,,,,,
0,5,10,14.5,,,,,,,,,,,,
0,5,10,,,,,,,,,,,,,
0,5,20,,,,,,,,,,,,,
0,5,20,,,,,,,,,,,,,
0,5,30,,,,,,,,,,,,,
0,5,40,,,,,,,,,,,,,
0,5,50,,,,,,,,,,,,,
0,5,60,,,,,,,,,,,,,
0,6,10,15,,,,,,,,,,,,
0,6,10,,,,,,,,,,,,,
0,6,20,,,,,,,,,,,,,
0,6,20,,,,,,,,,,,,,
0,6,30,,,,,,,,,,,,,
0,6,40,,,,,,,,,,,,,
0,6,50,,,,,,,,,,,,,
0,6,60,,,,,,,,,,,,,
0,7,10,14.5,,,,,,,,,,,,
0,7,10,,,,,,,,,,,,,
0,7,20,,,,,,,,,,,,,
0,7,20,,,,,,,,,,,,,
0,7,30,,,,,,,,,,,,,
0,7,40,,,,,,,,,,,,,
0,7,50,,,,,,,,,,,,,
0,7,60,,,,,,,,,,,,,
0,8,10,15,,,,,,,,,,,,
0,8,10,,,,,,,,,,,,,
0,8,20,,,,,,,,,,,,,
0,8,20,,,,,,,,,,,,,
0,8,30,,,,,,,,,,,,,
0,8,40,,,,,,,,,,,,,
0,8,50,,,,,,,,,,,,,
0,8,60,,,,,,,,,,,,,
0,9,10,14.5,,,,,,,,,,,,
0,9,10,,,,,,,,,,,,,
0,9,20,,,,,,,,,,,,,
0,9,20,,,,,,,,,,,,,
0,9,30,,,,,,,,,,,,,
0,9,40,,,,,,,,,,,,,
0,9,50,,,,,,,,,,,,,
0,9,60,,,,,,,,,,,,,
